date,realized,fhs_var,fhs_exc,hs_var,hs_exc,normal_var,normal_exc
2008-12-24,0.5764496357789292,8.377053303294408,0,5.328886594572081,0,3.4377759383859066,0
2008-12-26,0.5341881620716299,8.298967781365528,0,5.328886594572081,0,3.437250682738098,0
2008-12-29,-0.38801175284807,7.765316632054786,0,5.328886594572081,0,3.4365170937750316,0
2008-12-30,2.4114018863220665,7.28424109070249,0,5.328886594572081,0,3.436471482290864,0
2008-12-31,1.4059048160206564,7.071050179189365,0,5.328886594572081,0,3.436807650913352,0
2009-01-02,3.111881625446231,6.352295212258697,0,5.328886594572081,0,3.4393654919385424,0
2009-01-05,-0.4679288447595494,5.803150427126853,0,5.328886594572081,0,3.438709763790981,0
2009-01-06,0.7786737413759767,5.196014168678029,0,5.328886594572081,0,3.443659925504596,0
2009-01-07,-3.0469120220572425,5.1330246129848005,0,5.328886594572081,0,3.4428546101532804,0
2009-01-08,0.3391315691974653,4.728219121842479,0,5.328886594572081,0,3.442877799136243,0
2009-01-09,-2.1533214293202936,6.0268748781925785,0,5.328886594572081,0,3.4533382962887744,0
2009-01-12,-2.2822587628668867,5.669027782045456,0,5.328886594572081,0,3.4514728713742087,0
2009-01-13,0.17565152157664873,6.324628991110953,0,5.328886594572081,0,3.455968763398279,0
2009-01-14,-3.40324644901829,6.979652680918032,0,5.328886594572081,0,3.4613196480660013,0
2009-01-15,0.1328299166952238,6.623126494744209,0,5.328886594572081,0,3.4607407160248806,0
2009-01-16,0.7533131556373145,7.793939585875028,0,5.328886594572081,0,3.473362777127819,0
2009-01-20,-5.426201462391315,7.438166911419115,0,5.328886594572081,1,3.4735251027513,1
2009-01-21,4.257205806919397,6.97332722708932,0,5.328886594572081,0,3.473294757220325,0
2009-01-22,-1.5278446440878557,9.073962996011364,0,5.411525893116384,0,3.5012096750076327,0
2009-01-23,0.5363250283092427,7.941682358365743,0,5.411525893116384,0,3.51157645817703,0
2009-01-26,0.5537850154850269,8.202226227886419,0,5.411525893116384,0,3.515120313759629,0
